paper_id,title,doi,openalex_id,status,pdf_path,oa_status,license,error_message
REFINE-0001,Down-regulated miR-16-2 in peripheral blood is positively correlated with decreased bilateral insula volume in patients with major depressive disorder,10.1016/J.JAD.2023.05.068,https://openalex.org/W4378417519,no_pdf,data/pdfs/REFINE-0001.pdf,,,No PDF URL found in OpenAlex record
REFINE-0002,Sex-specific grey matter abnormalities in individuals with chronic insomnia,10.1007/S10072-023-07224-7,https://openalex.org/W4389483173,no_pdf,data/pdfs/REFINE-0002.pdf,,,No PDF URL found in OpenAlex record
REFINE-0003,FKBP5 is associated with amygdala volume in the human brain and mood state: A voxel-based morphometry (VBM) study,10.3109/13651501.2016.1144772,,already_exists,data/pdfs/REFINE-0003.pdf,,,
REFINE-0004,General and specific effects of early-life psychosocial adversities on adolescent grey matter volume,10.1016/J.NICL.2014.01.001,,already_exists,data/pdfs/REFINE-0004.pdf,,,
REFINE-0005,Reduced prefrontal cortical gray matter volume in young adults exposed to harsh corporal punishment,10.1016/J.NEUROIMAGE.2009.03.005,https://openalex.org/W2073983299,no_pdf,data/pdfs/REFINE-0005.pdf,,cc-by-nc-nd,No PDF URL found in OpenAlex record
REFINE-0006,Obesity and major depression: Body-mass index (BMI) is associated with a severe course of disease and specific neurostructural alterations,10.1016/J.PSYNEUEN.2014.10.001,https://openalex.org/W2168200555,no_pdf,data/pdfs/REFINE-0006.pdf,,,No PDF URL found in OpenAlex record
REFINE-0007,Dissociable morphometric profiles of the affective and cognitive dimensions of alexithymia,10.1016/J.CORTEX.2014.02.017,https://openalex.org/W2163872892,no_pdf,data/pdfs/REFINE-0007.pdf,,,No PDF URL found in OpenAlex record
REFINE-0008,Electroconvulsive therapy increases temporal gray matter volume and cortical thickness,10.1016/J.EURONEURO.2015.12.036,https://openalex.org/W2209613436,no_pdf,data/pdfs/REFINE-0008.pdf,,,No PDF URL found in OpenAlex record
REFINE-0009,Examining the relationship between gray matter volume and a continuous measure of bipolarity in unmedicated unipolar and bipolar depression,10.1016/J.JAD.2020.10.071,https://openalex.org/W3097938891,no_pdf,data/pdfs/REFINE-0009.pdf,,,No PDF URL found in OpenAlex record
REFINE-0010,Subthreshold depression may exist on a spectrum with major depressive disorder: Evidence from gray matter volume and morphological brain network,10.1016/J.JAD.2020.01.135,https://openalex.org/W3000858694,no_pdf,data/pdfs/REFINE-0010.pdf,,,No PDF URL found in OpenAlex record
REFINE-0011,Neural biomarker of functional disability in major depressive disorder: A structural neuroimaging study,10.1016/J.PNPBP.2021.110337,https://openalex.org/W3158837864,no_pdf,data/pdfs/REFINE-0011.pdf,,,No PDF URL found in OpenAlex record
REFINE-0012,Adverse childhood experiences influence the detrimental effect of bipolar disorder and schizophrenia on cortico-limbic grey matter volumes,10.1016/J.JAD.2015.09.049,https://openalex.org/W1889921912,no_pdf,data/pdfs/REFINE-0012.pdf,,,No PDF URL found in OpenAlex record
REFINE-0013,Neuroanatomical correlates of attitudes toward suicide in a large healthy sample: A voxel-based morphometric analysis,10.1016/J.NEUROPSYCHOLOGIA.2015.11.012,https://openalex.org/W2206717976,no_pdf,data/pdfs/REFINE-0013.pdf,,,No PDF URL found in OpenAlex record
REFINE-0014,Voxel-based morphometry study of the insular cortex in female patients with current and remitted depression,10.1016/J.NEUROSCIENCE.2013.12.058,https://openalex.org/W2090953041,no_pdf,data/pdfs/REFINE-0014.pdf,,,No PDF URL found in OpenAlex record
REFINE-0015,Distinct associations of insula and cingulate volume with the cognitive and affective dimensions of alexithymia,10.1016/J.NEUROPSYCHOLOGIA.2013.12.006,https://openalex.org/W2147134152,no_pdf,data/pdfs/REFINE-0015.pdf,,,No PDF URL found in OpenAlex record
REFINE-0016,The contribution of regional gray/white matter volume in preclinical depression assessed by the Automatic Thoughts Questionnaire: A voxel-based morphometry study,10.1097/WNR.0000000000000222,https://openalex.org/W2332112876,no_pdf,data/pdfs/REFINE-0016.pdf,,,No PDF URL found in OpenAlex record
REFINE-0017,Neural correlates of physical activity moderate the association between problematic mobile phone use and psychological symptoms,10.3389/FNBEH.2021.749194,,already_exists,data/pdfs/REFINE-0017.pdf,,,
REFINE-0018,“Brain morphometric biomarkers distinguishing unipolar and bipolar depression: A voxel-based morphometry–pattern classification approach”: Correction,,,not_found,data/pdfs/REFINE-0018.pdf,,,Paper not found in OpenAlex
REFINE-0019,Specificity of abnormal brain volume in major depressive disorder: A comparison with borderline personality disorder,10.1016/J.JAD.2014.11.059,https://openalex.org/W2059962810,no_pdf,data/pdfs/REFINE-0019.pdf,,,No PDF URL found in OpenAlex record
REFINE-0020,The function and structure of precuneus is associated with subjective sleep quality in major depression,10.3389/FPSYT.2021.831524,,already_exists,data/pdfs/REFINE-0020.pdf,,,
REFINE-0021,Brain structure associated with automatic thoughts predicted depression symptoms in healthy individuals,10.1016/J.PSCYCHRESNS.2015.03.002,https://openalex.org/W2031613723,no_pdf,data/pdfs/REFINE-0021.pdf,,,No PDF URL found in OpenAlex record
REFINE-0022,The reflection of self-esteem on the brain structure: A voxel based morphometry study in healthy young adults,,https://openalex.org/W4312496205,error,data/pdfs/REFINE-0022.pdf,,,Downloaded file is not a valid PDF (Content-Type: text/html; charset=utf-8)
REFINE-0023,Altered gray matter volumes and plasma IL-6 level in major depressive disorder patients with suicidal ideation,10.1016/J.NICL.2023.103403,https://openalex.org/W4364378514,error,data/pdfs/REFINE-0023.pdf,,cc-by-nc-nd,Downloaded file is not a valid PDF (Content-Type: text/html; charset=utf-8)
REFINE-0024,The gray matter volume of the right insula mediates the relationship between symptoms of depression/anxiety and sleep quality among college students,10.1177/1359105319869977,https://openalex.org/W2969095751,no_pdf,data/pdfs/REFINE-0024.pdf,,,No PDF URL found in OpenAlex record
REFINE-0025,Neurostructural correlates of hope: Dispositional hope mediates the impact of the SMA gray matter volume on subjective well-being in late adolescence,10.1093/SCAN/NSAA046,https://openalex.org/W3021495488,no_pdf,data/pdfs/REFINE-0025.pdf,,cc-by,HTTP 403 at PDF URL
REFINE-0026,Brain morphometry and connectivity differs between adolescent- and adult-onset major depressive disorder,10.1002/DA.23254,https://openalex.org/W4223975148,no_pdf,data/pdfs/REFINE-0026.pdf,,cc-by,No PDF URL found in OpenAlex record
REFINE-0027,Insular volume reductions in patients with major depressive disorder,10.1016/J.NPBR.2019.06.002,https://openalex.org/W2952601850,no_pdf,data/pdfs/REFINE-0027.pdf,,cc-by-nc-nd,No PDF URL found in OpenAlex record
REFINE-0028,Shared Transdiagnostic Neuroanatomical Signatures Across First-episode Patients with Major Psychiatric Diseases and Individuals at Familial Risk,10.1016/J.NICL.2022.103074,https://openalex.org/W4281990732,no_pdf,data/pdfs/REFINE-0028.pdf,,cc-by-nc-nd,No PDF URL found in OpenAlex record
REFINE-0029,Relationship between a BDNF gene polymorphism and the brain volume in treatment-naive patients with major depressive disorder: A VBM analysis of brain MRI,10.1016/J.PSCYCHRESNS.2015.05.016,https://openalex.org/W1676198535,no_pdf,data/pdfs/REFINE-0029.pdf,,,No PDF URL found in OpenAlex record
REFINE-0030,Association of brain cortical changes with relapse in patients with major depressive disorder,10.1001/JAMAPSYCHIATRY.2018.0123,https://openalex.org/W2794785123,no_pdf,data/pdfs/REFINE-0030.pdf,,,HTTP 403 at PDF URL
REFINE-0031,The left dorsolateral prefrontal cortex volume is reduced in adults reporting childhood trauma independent of depression diagnosis,10.1016/J.JPSYCHIRES.2019.02.014,https://openalex.org/W2917856418,no_pdf,data/pdfs/REFINE-0031.pdf,,,No PDF URL found in OpenAlex record
REFINE-0032,Functional and anatomical brain deficits in drug-naive major depressive disorder,10.1016/J.PNPBP.2014.05.008,https://openalex.org/W2046217022,no_pdf,data/pdfs/REFINE-0032.pdf,,,No PDF URL found in OpenAlex record
